OS;CLIENTE;PRODUTO;QTDE;LANÇAMENTO;ENTREGA;STATUS;OBSERVAÇÃO DA ÚLTIMA REUNIÃO SEMANAL
4847;CSN PORTO;CHAVE CSR 65R;1;29/07/2026;15/09/2026;EM PRODUÇÃO;AGUARDANDO ENVIO DE FORNECEDORES
4808;USIMINAS IPATINGA;PERITAGEM EM DISJUNTOR;1;13/05/2026;31/08/2026;EM PRODUÇÃO;AGUARDANDO PERITAGEM
4841;SINOBRAS;SIRENE ELÉTRICA AM 2904;1;14/07/2026;04/09/2026;EM PRODUÇÃO;MO PRAZO, ENTREGA NA PRÓXIMA SEXTA
4812;GERDAU SANTA CRUZ;REPARO EM CHAVE COMANDO REF. VIL 2050164F1;1;30/06/2026;08/09/2026;EM PRODUÇÃO;PRONTA, ENTREGA NA PRÓXIMA SEXTA
904;TERNIUM;REPARO EM DISJUNTOR TRIPOLAR A VACUO ABB;1;16/06/2026;11/09/2026;EM PRODUÇÃO;FINALIZADA, AGUARDANDO RELATÓRIO
905;TERNIUM;REPARO EM DISJUNTOR TRIPOLAR A VACUO ABB;1;16/06/2026;11/09/2026;EM PRODUÇÃO;FINALIZADA, AGUARDANDO RELATÓRIO
4829;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;4;25/06/2026;22/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4833;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;2;26/06/2026;23/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4818;GERDAU SANTA CRUZ;REPARO EM CHAVE DE COMANDO VILLARES 100A36135/6;1;08/07/2026;23/09/2026;EM PRODUÇÃO;PRONTA, ENTREGA NA DATA COMBINADA COM O CLIENTE
4834;ARCELOR-MITTAL TUBARÃO;CHAVE CAC-61;2;30/06/2026;24/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4835;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;2;30/06/2026;24/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4830;GERDAU PINDA;CARRO PORTA CABOS MOVEL EV 5282;1;26/06/2026;25/09/2026;EM PRODUÇÃO;PRONTA, ENTREGA NA DATA COMBINADA COM O CLIENTE
4827;ARCELOR-MITTAL TUBARÃO;ISOLADOR SUPORTE CONF DES B5191JX00030;54;23/06/2026;26/09/2026;EM PRODUÇÃO;EM PRODUÇÃO, AGUARDANDO ENVIO DA FUNDIÇÃO
4831;SUPPLY TECH;FREIO TM 13;1;26/06/2026;26/09/2026;EM PRODUÇÃO;FINALIZA NA PRÓXIMA SEXTA
4837;ARCELOR-MITTAL TUBARÃO;CHAVE CAC-61;2;01/07/2026;28/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4838;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;2;01/07/2026;28/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ITENS DE MONTAGEM EM PLÁSTICO INJETADO
4843;ANGLO AMERICAN;SAPATA COLETORA BRONZE PARA PANTÓGRAFO MJ-1691B;3;22/07/2026;28/09/2026;EM PRODUÇÃO;PRONTA, ENTREGA NA PRÓXIMA SEXTA
4848;SIMEC;CHAVE CSR 65P;1;29/07/2026;29/09/2026;EM PRODUÇÃO;ADIANTADA, AGUARDANDO ENVIO DA FUNDIÇÃO
